	Frame	x	y	z	
	226	56.9871	56.9871	100	
	227	56.9871	56.9871	100	
	228	56.9871	56.9871	100	
	229	56.9871	56.9871	100	
	230	56.9871	56.9871	100	
	231	56.9871	56.9871	100	
	232	56.9871	56.9871	100	
	233	56.9871	56.9871	100	
	234	56.9871	56.9871	100	
	235	56.9871	56.9871	100	
	236	56.9871	56.9871	100	
	237	56.9871	56.9871	100	
	238	56.9871	56.9871	100	
	239	56.9871	56.9871	100	
	240	56.9871	56.9871	100	
	241	56.9871	56.9871	100	
	242	56.9871	56.9871	100	
	243	56.9871	56.9871	100	
	244	56.9871	56.9871	100	
	245	56.9871	56.9871	100	
	246	56.9871	56.9871	100	
	247	56.9871	56.9871	100	
	248	56.9871	56.9871	100	
	249	56.9871	56.9871	100	
	250	56.9871	56.9871	100	
	251	56.9871	56.9871	100	
	252	56.9871	56.9871	100	
	253	56.9871	56.9871	100	
	254	56.9871	56.9871	100	
	255	56.9871	56.9871	100	
	256	56.9871	56.9871	100	
	257	56.9871	56.9871	100	
