	Frame	x	y	z	
	229	XX	181.391	0	
	230	XX	181.391	0	
	231	XX	181.391	0	
	232	XX	181.391	0	
	233	XX	181.391	0	
	234	XX	181.391	0	
	235	XX	181.391	0	
	236	XX	181.391	0	
	237	XX	181.391	0	
	238	XX	181.391	0	
	239	XX	181.391	0	
	240	XX	181.391	0	
	241	XX	181.391	0	
	242	XX	181.391	0	
	243	XX	181.391	0	
	244	XX	181.391	0	
	245	XX	181.391	0	
	246	XX	181.391	0	
	247	XX	181.391	0	
	248	XX	181.391	0	
	249	XX	181.391	0	
	250	XX	181.391	0	
	251	XX	181.391	0	
	252	XX	181.391	0	
	253	XX	181.391	0	
	254	XX	181.391	0	
	255	XX	181.391	0	
	256	XX	181.391	0	
	257	XX	181.391	0	
